작가,작품수,평균문장길이_자수,문장길이편차_자수,평균문장길이_어절,평균어절길이_글자수,어휘다양도_TTR,명사_TTR,용언_TTR,명사형종결_비율,계사형종결_비율,동사형종결_비율,기타종결_비율,명사_비율,동사_비율,형용사_비율,수식언_비율,조사_비율,어미_비율,일반명사_비율,의존명사_비율,일반동사_비율,보조동사_비율,일반형용사_비율,보조형용사_비율,관형사형어미_비율,명사형어미_비율,주요종결어미
김종광,20,19.825164452470013,19.10621708585413,6.794531149232555,2.9200569935882212,0.1780709462417341,0.35598204519001575,0.2708818607353287,0.04052537786284734,0.20421094317206784,0.6059666028644974,0.14929707610058743,0.25171950077642447,0.11143906320441734,0.01490426667385935,0.049205658072694905,0.13835767928083445,0.22774474709370654,0.17785321532195605,0.03532634872439051,0.08677072937658704,0.024668333827830288,0.014900413450830947,3.853223028402107e-06,0.04912859361212686,0.0038686359205157153,"다/EF, 어/EF, 지/EF"
김주영,2,33.86319479218828,26.6482251616315,11.009914872308462,3.101429069362147,0.07353998696269556,0.15842097129976512,0.08421235281149547,0.006888888888888889,0.2618888888888889,0.5982222222222222,0.133,0.2560084530916884,0.11692074479802562,0.013217290007504733,0.04339303516023164,0.16740033827301545,0.2242234842120591,0.1831901460249187,0.030172011454984674,0.09400704175394185,0.02291370304408377,0.013217290007504733,0.0,0.054254361892387366,0.004629785200368889,"다/EF, ᆸ니다/EF, ᆫ가/EF"
김준성,8,23.965788967903134,24.484671080096156,8.225062463963098,2.9154547580079493,0.15268904977983755,0.2903381172427614,0.24940890993853196,0.015271717572391909,0.2046806822689409,0.6310987703292344,0.14894882982943278,0.2653223980229799,0.11925133163330609,0.012996347238768498,0.03656699518544409,0.17348154420234918,0.23640552541672,0.19571317455472742,0.026790197603552335,0.08864099559896423,0.030610336034341865,0.012996347238768498,0.0,0.05346224659584314,0.004519184380753591,"다/EF, 어요/EF, 어/EF"
김춘복,2,26.828813559322032,24.430382243396444,9.022881355932203,2.9868855552410607,0.20535407324385302,0.4154732454033584,0.3136104814167916,0.05,0.21203703703703702,0.5462962962962963,0.19166666666666668,0.24998048552025603,0.1074857544297869,0.011708687846382015,0.06026071344937944,0.15705253297947078,0.20096011240340333,0.18452892045898056,0.028061821871828898,0.08227304660057763,0.02521270782920927,0.011708687846382015,0.0,0.046795722426040125,0.003941924908281946,"다/EF, ᆫ다/EF, 어요/EF"
김하기,8,25.173360300491186,17.917190361108656,8.18260618318405,3.0781324524368916,0.19601096388234868,0.3826020566318238,0.30397698232334164,0.03316971590063959,0.17373196489662354,0.6265060240963856,0.16659229510635132,0.2721633363575343,0.11562774298717296,0.013063073030765713,0.043231321870873994,0.17166397439018094,0.22090681772919388,0.2092378275910395,0.02135380938682481,0.09382399150273285,0.021803751484440116,0.013063073030765713,0.0,0.04935348483842653,0.0035921606809615485,"다/EF, 어/EF, 야/EF"
김한수,4,44.77114427860697,29.019000787520316,14.804311774461029,3.024196258541503,0.2030698020141148,0.36887438883249585,0.3120289276856298,0.007909604519774011,0.12937853107344632,0.7677966101694915,0.09491525423728814,0.27058280894804465,0.13710341646624716,0.01477613415477877,0.04651928969129905,0.18133298191282576,0.23447435179389187,0.20928738510196684,0.02989819787170955,0.11012091061839027,0.026982505847856882,0.01477613415477877,0.0,0.06139426086383554,0.0052713076137449345,"다/EF, 어/EF, ᆫ다/EF"
나도향,1,21.358395989974937,22.008186524992947,7.791979949874687,2.741074300418141,0.18726329078412118,0.3099450884685784,0.31097560975609756,0.023255813953488372,0.132890365448505,0.6843853820598007,0.15946843853820597,0.22990601767428812,0.12610464300743443,0.011923130873895358,0.059054565857764064,0.1705709075606677,0.21854397531210548,0.15149389816243514,0.026511432178426147,0.10660681722541732,0.019497825782017114,0.011923130873895358,0.0,0.04586898583251508,0.003085986814419975,"다/EF, ᆫ다/EF, 냐/EF"
박경리,1,22.507462686567163,14.498453993060991,7.8462686567164175,2.8745711017918416,0.18254955627436345,0.3459844120637072,0.2732342007434944,0.005067567567567568,0.2483108108108108,0.6300675675675675,0.11655405405405406,0.24475408476403748,0.11976445218545244,0.014099693124326117,0.04727544165215228,0.17093804428962428,0.22725387741560918,0.19548809820021565,0.026955295678858755,0.0958779132454176,0.023886538940034834,0.014099693124326117,0.0,0.06145807414779796,0.002902877996184789,"다/EF, ᆫ다/EF, 어요/EF"
박범신,13,21.726975906327404,16.644551209188112,7.478158072506193,2.911923587638822,0.18892795464243498,0.3452411028985871,0.3133854902004201,0.04271530824290002,0.2057261602401293,0.614523204802586,0.13703532671438468,0.25336015995055156,0.12260562980529678,0.013976751666677178,0.05369948722476963,0.15118985297920517,0.22837103986780113,0.19052784943455967,0.028565301578691762,0.09968527079956355,0.022920359005733245,0.013976751666677178,0.0,0.04921506915843052,0.0028634680761152704,"다/EF, 어/EF, 야/EF"
박완서,16,28.814740403933595,20.039812930068653,10.020408163265307,2.879403622223631,0.18097043579974215,0.35061575407762297,0.26625032172114127,0.013876936316695353,0.1928786574870912,0.6471600688468159,0.1460843373493976,0.24470113525666773,0.1190796064689778,0.01891478880717257,0.055040788908740874,0.16698753018194576,0.24185722266081264,0.17779532139444051,0.03138922360262785,0.09244562633019857,0.02663398013877924,0.01891478880717257,0.0,0.06025770649529323,0.005812477204840192,"다/EF, 어요/EF, 습니다/EF"
박정규,5,30.733313556808067,21.101084908213608,10.459507564520914,2.9444097084067526,0.18981897093253378,0.3768033775894386,0.2830955066927689,0.0208398133748056,0.24696734059097977,0.5965785381026438,0.13561430793157075,0.2708717327032744,0.11107262583653929,0.01549994433379928,0.04898625663355559,0.1766845210851198,0.22666039906480784,0.20063335766152476,0.030356634792612476,0.08317767414243125,0.027894951694108043,0.01549994433379928,0.0,0.06604485458751345,0.004589368992689172,"다/EF, ᆫ다/EF, 어요/EF"
송기원,9,30.77607134010404,24.247238049055067,10.49789447609611,2.9342040006612664,0.1836239580181101,0.3226557739722265,0.3154307710311609,0.027880063124671225,0.262493424513414,0.5967911625460284,0.11283534981588637,0.2525135897331099,0.10977030285690931,0.014948706420893448,0.0661503249274533,0.17479666489557363,0.21419667306984919,0.1826030980504353,0.030244819552867126,0.08830261168103977,0.021467691175869538,0.014948706420893448,0.0,0.056494461928311604,0.0036988596885601014,"다/EF, 어/EF, ᆫ다/EF"
