작가,작품수,의미흐름_유사도,개념유사도_평균,당혹도_PPL,버스트성_어절,버스트성_글자,네트워크밀도,네트워크군집도,네트워크이행성,정보엔트로피,가독성_LIX
김춘복,2,0.3415558942039968,0.5224364231141043,32868.9474596115,0.8628184368766677,0.9047019371235311,0.22000000000000003,0.5028371105897081,0.4055330005989651,8.963046810180568,38.21751670208137
김하기,8,0.3436509451931773,0.49469799586418906,2456.364331864766,0.6720314531888343,0.691751843476875,0.24836734693877552,0.515419310405475,0.4115279855544206,8.98473911473534,39.68838271923018
김한수,4,0.42726104253082575,0.5531951302743388,252.320677127076,0.628740564619156,0.6235910339438786,0.2922448979591837,0.5249999580919302,0.4460103280919543,8.906632527489023,43.75378511152366
나도향,1,0.366236205038925,0.5318797884193369,6619.018637058013,1.044192641879614,1.0304231897995995,0.17551020408163265,0.5810933954933956,0.41623843782117165,8.347794543949881,28.66685933231277
박경리,1,0.321533325998122,0.4876965827786842,5414.577420595297,0.6501483483042638,0.6441620805935587,0.1836734693877551,0.6025704887246682,0.35489833641404805,8.570660835190973,31.84815040315009
박범신,13,0.34641090447444084,0.5151983602272876,4555.762232663144,0.6887896062339691,0.6996788654608099,0.19642072213500786,0.4921864925186441,0.3799985686111569,8.678554578389264,35.589917125695216
박완서,16,0.36509802757369825,0.5147386381219383,1356.829347333462,0.6869135613663384,0.6839553622855707,0.1903061224489796,0.47219736796268574,0.3736388793307736,8.662754895143873,36.517613821175125
박정규,5,0.35943998906053387,0.4916360019124615,7354.309465348897,0.6800938576675356,0.6822165508245547,0.243265306122449,0.4960301639617198,0.4044600882170631,8.818614063605464,38.04923240632978
송기원,9,0.40657779420984985,0.5522066575726665,4694.713229591411,0.7307879075364071,0.7606858364366706,0.22458049886621317,0.5324916063779679,0.3933157652315841,8.630540637891754,38.17569434518651
송영,7,0.3440692009993698,0.478487866438472,1789.5275550783422,0.5953466038161415,0.6098028042207899,0.2246064139941691,0.4602767927327371,0.37376495413534244,8.445607228570262,34.67793699203354
안재성,9,0.3306179871615815,0.4816389221724522,2238.9608957558903,0.7362315150044896,0.7554593588882172,0.2698412698412698,0.4984237527172234,0.42932244214773546,8.766227557717205,37.488070920139556
염상섭,1,0.40139488056868255,0.561598743947969,4973.211448873372,0.840372836802812,0.8506295240773459,0.4742857142857143,0.6423537038877047,0.5804887901434054,9.166534102753657,37.24629424560432
오영수,11,0.37722080320946194,0.5363992506587184,22100.888251514316,0.7834793507512416,0.8007637189349903,0.18738404452690166,0.5572376996840664,0.39488886182919225,8.477194455057228,29.110152004865792
